a_level	b_level	c_level	description	ko_number
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ALDO; fructose-bisphosphate aldolase, class I	K01623
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	fbaB; fructose-bisphosphate aldolase, class I	K11645
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	FBA, fbaA; fructose-bisphosphate aldolase, class II	K01624
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01622; fructose 1,6-bisphosphate aldolase/phosphatase	K01622
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase	K16305
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	K16306
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	TPI, tpiA; triosephosphate isomerase (TIM)	K01803
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	K00134
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	GAPDHS; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	K10705
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P))	K00150
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PGK, pgk; phosphoglycerate kinase	K00927
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	K01834
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	K15634
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15635
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ENO, eno; enolase	K01689
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PK, pyk; pyruvate kinase	K00873
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PKLR; pyruvate kinase isozymes R/L	K12406
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ppdK; pyruvate, orthophosphate dikinase	K01006
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pps, ppsA; pyruvate, water dikinase	K01007
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	aceE; pyruvate dehydrogenase E1 component	K00163
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	K00161
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	K00162
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	K00627
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	K00382
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex	K13997
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	porA; pyruvate ferredoxin oxidoreductase alpha subunit	K00169
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	porB; pyruvate ferredoxin oxidoreductase beta subunit	K00170
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit	K00172
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit	K00189
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	porD; pyruvate ferredoxin oxidoreductase delta subunit	K00171
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase	K03737
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	K00174
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	K00175
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	LDH, ldh; L-lactate dehydrogenase	K00016
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PDC, pdc; pyruvate decarboxylase	K01568
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ADH1_7; alcohol dehydrogenase 1/7	K13951
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ADH4; alcohol dehydrogenase 4	K13980
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	K00121
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ADH6; alcohol dehydrogenase 6	K13952
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase	K04072
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	adhP; alcohol dehydrogenase, propanol-preferring	K13953
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	yiaY; alcohol dehydrogenase	K13954
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ADH1; alcohol dehydrogenase class-P	K18857
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	E1.1.1.1, adh; alcohol dehydrogenase	K00001
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	AKR1A1, adh; alcohol dehydrogenase (NADP+)	K00002
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ahr; alcohol/geraniol dehydrogenase (NADP+)	K12957
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	yahK; alcohol dehydrogenase (NADP+)	K13979
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1	K14028
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2	K14029
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	exaA; alcohol dehydrogenase (cytochrome c)	K00114
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	eutG; alcohol dehydrogenase	K04022
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit	K22473
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	adhB; alcohol dehydrogenase (quinone), cytochrome c subunit	K22474
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ALDH; aldehyde dehydrogenase (NAD+)	K00128
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ALDH7A1; aldehyde dehydrogenase family 7 member A1	K14085
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ALDH9A1; aldehyde dehydrogenase family 9 member A1	K00149
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ALDH3; aldehyde dehydrogenase (NAD(P)+)	K00129
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	aldB; aldehyde dehydrogenase	K00138
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ACSS1_2, acs; acetyl-CoA synthetase	K01895
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	AAE7, ACN1; acetate/butyrate---CoA ligase	K01913
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	acdA; acetate---CoA ligase (ADP-forming) subunit alpha	K01905
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	acdB; acetate---CoA ligase (ADP-forming) subunit beta	K22224
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	acdAB; acetate---CoA ligase (ADP-forming)	K24012
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	galM, GALM; aldose 1-epimerase	K01785
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	agp; glucose-1-phosphatase	K01085
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	yihX; glucose-1-phosphatase	K20866
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pgm; phosphoglucomutase	K01835
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pmm-pgm; phosphomannomutase / phosphoglucomutase	K15778
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PGM2; phosphoglucomutase / phosphopentomutase	K15779
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	G6PC; glucose-6-phosphatase	K01084
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ppgK; polyphosphate glucokinase	K00886
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ADPGK; ADP-dependent glucokinase	K08074
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	E5.1.3.15; glucose-6-phosphate 1-epimerase	K01792
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	BPGM; bisphosphoglycerate/phosphoglycerate mutase	K01837
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase	K03103
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)	K11389
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	K00131
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	gapN; glyceraldehyde-3-phosphate dehydrogenase	K18978
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)	K01596
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)	K01610
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	E3.2.1.86A, celF; 6-phospho-beta-glucosidase	K01222
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	K01223
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	crr; sugar PTS system EIIA component	K02777
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ptsG; glucose PTS system EIICB or EIICBA component	K02779
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	malX; maltose/glucose PTS system EIICB component	K02791
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component	K20118
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ascF; beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component	K02753
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	CS, gltA; citrate synthase	K01647
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ACLY; ATP citrate (pro-S)-lyase	K01648
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	aclA; ATP-citrate lyase alpha-subunit	K15230
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	aclB; ATP-citrate lyase beta-subunit	K15231
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	E2.3.3.3; citrate (Re)-synthase	K05942
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ACO, acnA; aconitate hydratase	K01681
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase	K01682
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	IDH1, IDH2, icd; isocitrate dehydrogenase	K00031
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	IDH3; isocitrate dehydrogenase (NAD+)	K00030
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	HICDH; isocitrate--homoisocitrate dehydrogenase	K17753
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	K00164
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	K00658
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma	K00177
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta	K00176
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	sucD; succinyl-CoA synthetase alpha subunit	K01902
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	sucC; succinyl-CoA synthetase beta subunit	K01903
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	LSC1; succinyl-CoA synthetase alpha subunit	K01899
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	LSC2; succinyl-CoA synthetase beta subunit	K01900
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	aarC, cat1; succinyl-CoA:acetate CoA-transferase	K18118
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit	K00234
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit	K00235
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	K00236
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit	K00237
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	K00239
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	K00240
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	K00241
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	K00242
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D	K18859
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D	K18860
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	frdA; fumarate reductase flavoprotein subunit	K00244
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	frdB; fumarate reductase iron-sulfur subunit	K00245
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	frdC; fumarate reductase subunit C	K00246
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	frdD; fumarate reductase subunit D	K00247
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I	K01676
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha	K01677
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	E4.2.1.2AB, fumB; fumarate hydratase subunit beta	K01678
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II	K01679
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	fumD; fumarate hydratase D	K01675
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	fumE; fumarate hydratase E	K01774
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	MDH1; malate dehydrogenase	K00025
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	MDH2; malate dehydrogenase	K00026
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	mdh; malate dehydrogenase	K00024
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	mqo; malate dehydrogenase (quinone)	K00116
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	PC, pyc; pyruvate carboxylase	K01958
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	pycA; pyruvate carboxylase subunit A	K01959
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	pycB; pyruvate carboxylase subunit B	K01960
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	K00036
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	azf; NAD+ dependent glucose-6-phosphate dehydrogenase	K19243
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	PGLS, pgl, devB; 6-phosphogluconolactonase	K01057
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	pgl; 6-phosphogluconolactonase	K07404
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	H6PD; hexose-6-phosphate dehydrogenase	K13937
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	K00033
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	rpe, RPE; ribulose-phosphate 3-epimerase	K01783
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	E2.2.1.1, tktA, tktB; transketolase	K00615
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	E2.2.1.2, talA, talB; transaldolase	K00616
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	rpiA; ribose 5-phosphate isomerase A	K01807
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	rpiB; ribose 5-phosphate isomerase B	K01808
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	fae-hps; bifunctional enzyme Fae/Hps	K13812
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	hxlA; 3-hexulose-6-phosphate synthase	K08093
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	hxlB; 6-phospho-3-hexuloisomerase	K08094
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	hps-phi; 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase	K13831
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	K01621
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	deoC, DERA; deoxyribose-phosphate aldolase	K01619
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	rbsK, RBKS; ribokinase	K00852
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	deoB; phosphopentomutase	K01839
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	ppm; phosphopentomutase	K22199
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	phnN; ribose 1,5-bisphosphokinase	K05774
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	PRPS, prsA; ribose-phosphate pyrophosphokinase	K00948
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	edd; phosphogluconate dehydratase	K01690
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase	K01625
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	dgaF; 2-dehydro-3-deoxy-phosphogluconate aldolase	K17463
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	kdpgA; 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase	K11395
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gdh; glucose 1-dehydrogenase	K00034
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gdh; glucose 1-dehydrogenase	K22969
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	HOX; hexose oxidase	K21840
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gdh2, gdhA; glucose/galactose 1-dehydrogenase (NADP+)	K18124
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	ssgdh; aldose 1-dehydrogenase	K18125
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	GLD; glucose 1-dehydrogenase (FAD, quinone)	K00115
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gdh; glucose dehydrogenase	K19813
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gcd; quinoprotein glucose dehydrogenase	K00117
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gnl, RGN; gluconolactonase	K01053
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	E1.1.99.3A; gluconate 2-dehydrogenase alpha chain	K06151
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	E1.1.99.3G; gluconate 2-dehydrogenase gamma chain	K06152
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase	K00090
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	K22229; 2-ketogluconate reductase	K22229
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	kguK; dehydrogluconokinase	K11441
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	E1.1.1.43; phosphogluconate 2-dehydrogenase	K00032
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	E2.7.1.12, gntK, idnK; gluconokinase	K00851
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gnaD; gluconate/galactonate dehydratase	K05308
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	kdgK; 2-dehydro-3-deoxygluconokinase	K00874
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	sskdgK; 2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase	K18126
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	kdgA; 2-dehydro-3-deoxy-D-gluconate aldolase	K18127
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	aor; aldehyde:ferredoxin oxidoreductase	K03738
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	cutA; glyceraldehyde dehydrogenase large subunit	K18020
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	cutB; glyceraldehyde dehydrogenase medium subunit	K18021
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	cutC; glyceraldehyde dehydrogenase small subunit	K18022
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gadh; D-glyceraldehyde dehydrogenase (NADP+)	K18128
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	gck, gckA, GLYCTK; glycerate 2-kinase	K11529
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	E4.3.1.9; glucosaminate ammonia-lyase	K22345
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	dgaA; D-glucosaminate PTS system EIIA component	K17464
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	dgaB; D-glucosaminate PTS system EIIB component	K17465
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	dgaC; D-glucosaminate PTS system EIIC component	K17466
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	dgaD; D-glucosaminate PTS system EIID component	K17467
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	dgaE; D-glucosaminate-6-phosphate ammonia-lyase	K17468
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	E3.1.1.11; pectinesterase	K01051
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	PLY; pectate lyase	K22539
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	pel; pectate lyase	K01728
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	pelC; pectate lyase C	K19551
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	pelW; pectate disaccharide-lyase	K01731
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	pelX; pectate disaccharide-lyase	K22994
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	ogl; oligogalacturonide lyase	K01730
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	kduI; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	K01815
